Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Robinson Inc,ortegagarrett@hotmail.com,"23280 Brittney Station Suite 384, Curryside, LA 58738",16.57,3,78.28,3,827,8.24,17,19.65,7.15,15.79,Not Approved
Mercado Ltd,mcguiretracy@lambert-mejia.com,"61707 Christopher Park Suite 549, Rickyport, MO 38826",40.38,13,85.06,0,802,12.04,2,17.92,2.67,20.0,Approved
Stewart-Barton,smithamy@erickson.net,"64667 Hannah Route, Holmesbury, UT 66950",36.41,8,98.49,1,833,6.37,5,15.58,6.92,20.0,Approved
Middleton-Cooper,thomas59@yahoo.com,"43769 Warner Station, South Scott, IA 38794",38.15,7,99.3,0,847,10.69,7,19.18,1.67,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",24.07,10,95.24,0,812,12.53,10,20.47,8.13,20.0,Approved
"Moore, Taylor and Miller",carolstein@hotmail.com,"1122 Gary Via Suite 375, Brianchester, KS 39552",43.19,17,97.27,3,650,8.78,7,8.95,7.27,20.0,Not Approved
Chen-Rios,lopezmason@gmail.com,"698 Wright Lodge Apt. 231, North Shawnburgh, MO 18956",30.65,16,87.93,1,806,14.47,9,17.59,8.17,20.0,Approved
Johns Group,stevenjackson@hotmail.com,"0816 Gordon Walks Suite 668, North Holly, MD 03234",37.98,13,99.36,0,827,11.19,7,23.94,8.23,20.0,Approved
"Wall, Zhang and Henry",wmiller@taylor-turner.info,"0212 Green Brook Apt. 481, New Stephanieport, FL 69235",37.19,14,86.81,1,848,7.86,4,18.95,3.2,20.0,Approved
Davidson Inc,billy17@yahoo.com,"61053 Loretta Port, Tonyborough, VA 87365",31.88,7,73.95,2,650,6.25,16,17.04,9.39,5.38,Not Approved
Johnson-Wright,zachary95@gmail.com,"746 Leah Prairie Apt. 299, South Mark, CT 71631",29.08,15,85.4,1,842,10.33,3,22.99,2.93,20.0,Approved
"Chapman, Crawford and Kelley",ashley60@turner-phillips.org,"8281 Jill Canyon, Curtismouth, AK 63164",40.94,16,89.96,3,765,14.23,18,20.34,9.0,20.0,Not Approved
Harrison Ltd,sara10@brown.com,"029 Briana Circles, Hardinburgh, NH 68445",35.47,14,94.41,0,832,10.0,3,19.71,4.77,20.0,Approved
Collins LLC,jwells@smith.com,"8639 Jennifer Ways Suite 193, Davidsonstad, OH 64475",14.63,3,52.49,0,715,7.97,6,8.58,6.71,20.0,Not Approved
Chen-Rios,lopezmason@gmail.com,"698 Wright Lodge Apt. 231, North Shawnburgh, MO 18956",30.65,16,87.93,1,806,14.47,9,17.59,8.17,20.0,Approved
Gonzalez and Sons,thompsonbradley@jordan.biz,"6999 Randall Wells Apt. 631, Whiteburgh, RI 41562",32.56,18,86.35,1,819,4.57,1,17.98,1.79,20.0,Approved
"Jenkins, Hayes and Johnson",frankdonovan@sherman.com,"861 Travis Vista, Wrightfurt, FL 16619",39.72,9,94.83,0,835,5.51,2,21.49,2.16,20.0,Approved
Perez-Hampton,bwilliams@yahoo.com,"PSC 9998, Box 5919, APO AA 62372",19.62,7,57.25,2,830,7.03,5,12.46,1.69,13.39,Not Approved
"Diaz, Hall and Washington",michael68@campbell.biz,"03176 Tran Islands Suite 745, Jamesport, KS 48446",33.39,6,90.88,1,842,4.03,1,23.92,1.18,20.0,Approved
Pope-Francis,jlawrence@carroll-williams.org,"215 Lawrence Cliff Apt. 424, Candacestad, ID 13182",37.26,14,80.71,3,650,7.1,6,17.52,8.15,20.0,Not Approved
Mercado Ltd,mcguiretracy@lambert-mejia.com,"61707 Christopher Park Suite 549, Rickyport, MO 38826",40.38,13,85.06,0,802,12.04,2,17.92,2.67,20.0,Approved
Bernard-Andrews,christopher66@yahoo.com,"56602 Thomas Ridges Suite 662, Kellyhaven, IL 73585",34.59,13,86.24,1,829,3.89,3,18.3,9.06,20.0,Approved
Mcdaniel-Graham,joshuaallen@terry.org,"61069 Manning Fort Apt. 418, Estradahaven, NH 63683",48.48,7,95.91,0,837,7.35,6,17.29,8.82,20.0,Approved
"Guerrero, House and Jones",dale30@yahoo.com,"143 Michael Manor, Lake John, MA 99106",27.14,17,97.06,0,844,13.39,3,18.75,4.31,20.0,Approved
Gonzales and Sons,anthony82@munoz-santos.com,"Unit 6611 Box 7372, DPO AP 71581",47.04,16,94.77,1,825,9.99,8,17.51,1.96,20.0,Approved
"Delacruz, Carey and Meyer",jgoodman@yahoo.com,"3307 Joel Camp, South Terrihaven, VT 33477",23.66,9,98.15,0,829,7.83,6,19.39,3.57,20.0,Approved
Hill PLC,emilysutton@hotmail.com,"0515 Green Prairie Apt. 738, West Jessica, SC 69059",22.7,6,93.74,0,803,14.73,7,20.45,8.89,20.0,Approved
"Franklin, Palmer and Gonzalez",iankelly@yahoo.com,"5434 Hannah Lakes, Port Roberttown, TN 79220",47.01,12,86.66,0,838,10.12,8,18.39,1.42,20.0,Approved
Watson LLC,michaelkidd@hotmail.com,"1017 Nguyen Trace Suite 310, Joyton, DE 40435",46.01,8,89.13,2,785,7.79,6,13.06,1.37,11.64,Not Approved
Flores-Murray,kellylandry@hotmail.com,"USCGC Bell, FPO AP 15774",26.18,19,98.52,0,834,5.59,5,21.66,4.13,20.0,Approved
Cook and Sons,xlogan@rangel.com,"412 Sims Pass, Vanessamouth, ID 58581",28.15,6,83.37,3,650,8.21,7,7.04,1.47,20.0,Not Approved
Williams Inc,benjamin79@gmail.com,"552 Brian Drive Apt. 803, Whitehaven, MN 10152",24.66,9,90.32,0,821,6.3,7,19.58,6.83,20.0,Approved
Olson PLC,xrivera@yahoo.com,"448 Bauer Falls Suite 948, Forbesville, MN 48378",36.18,8,84.85,0,815,3.8,2,18.18,8.37,20.0,Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Williams Ltd,nmerritt@brown.com,"534 John Pass Apt. 291, West Brian, MT 57937",26.54,15,88.23,0,829,13.7,2,17.23,2.21,20.0,Approved
Williams Ltd,nmerritt@brown.com,"534 John Pass Apt. 291, West Brian, MT 57937",29.37,6,98.48,0,822,13.7,1,24.89,3.76,20.0,Approved
King PLC,mauricecastillo@elliott-donovan.com,"42031 Cabrera Plaza Apt. 986, Lake Angela, NJ 23430",43.07,15,96.02,0,816,3.58,9,18.68,7.81,20.0,Approved
Jarvis Ltd,josephking@hill.org,"829 Lisa Gardens Apt. 674, Port Lisachester, RI 76495",35.56,18,95.1,0,839,10.47,5,23.05,4.53,20.0,Approved
Alvarez-Wyatt,sherribecker@hotmail.com,"6148 Jesus Wells Apt. 565, Jenniferchester, TX 93033",21.67,17,93.01,1,838,6.64,5,17.9,3.59,20.0,Approved
Clark LLC,jacobsjoanna@gibbs-mcdonald.info,"3581 Linda Crest, Campbellborough, HI 30249",20.82,15,95.55,0,816,13.66,3,24.81,4.2,20.0,Approved
Greene Ltd,gmiddleton@sanford.com,"6194 Bradford Parkways, Davisshire, IN 37491",44.41,12,87.21,1,813,7.27,7,18.55,5.63,20.0,Approved
Watkins Inc,jwright@frederick-russell.biz,"623 Kim Port Apt. 289, Cookshire, ME 93840",24.94,13,96.83,0,848,5.36,8,16.51,9.87,20.0,Approved
"Ayers, Gonzales and Schroeder",debra28@curtis.net,"594 Chase Camp, Port Emilychester, IA 97029",45.04,15,84.29,1,843,10.77,5,22.12,9.01,20.0,Approved
Mclaughlin-Berry,andrewgrant@simmons-robertson.com,"0916 Smith Station, West Lori, KS 50307",42.83,12,88.84,1,805,5.78,5,20.88,8.5,20.0,Approved
"Wood, Gomez and Aguirre",lnelson@gmail.com,"8884 Gilmore Tunnel, North Timothy, NM 25175",48.99,13,97.21,0,812,14.75,8,24.36,5.96,20.0,Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",45.53,8,88.83,0,840,11.02,10,15.42,7.64,20.0,Approved
Castillo-Williams,seth68@yahoo.com,"340 Stewart Shore, Farmerfurt, MI 85392",22.58,11,85.16,0,820,6.8,2,15.29,5.26,20.0,Approved
Harris-Watkins,mathewmartin@yahoo.com,"491 Tracy Ranch Apt. 122, Gonzalezside, KS 02475",16.4,8,90.48,1,796,9.42,15,8.3,7.55,20.0,Not Approved
"Gilbert, Jacobson and Smith",briansalinas@gmail.com,"33448 Page Ferry, Victoriatown, CT 73121",38.18,15,97.22,1,803,5.71,8,21.86,6.73,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",20.69,7,94.07,1,847,10.83,6,22.56,3.1,20.0,Approved
Hughes Ltd,harriskayla@branch-may.com,"251 Green Meadow, Port Michelleburgh, MN 37927",43.36,19,83.35,3,650,14.2,1,9.18,3.89,20.0,Not Approved
Hill PLC,emilysutton@hotmail.com,"0515 Green Prairie Apt. 738, West Jessica, SC 69059",22.7,6,93.74,0,803,14.73,7,20.45,8.89,20.0,Approved
Ward-Johnson,marquezmichael@marsh.net,"661 Smith Isle, Lake Catherine, NY 93945",11.72,12,98.14,0,679,13.41,16,10.33,1.51,9.53,Not Approved
Ryan-Jimenez,maureenjohnson@gmail.com,"2975 Phillip Trail, East Robertside, PA 95256",47.94,6,92.1,1,818,11.85,9,18.96,1.96,20.0,Approved
"Pitts, Hughes and Smith",troy21@mckay.com,"8829 Amanda Cape, Ralphfort, UT 47853",46.44,8,86.45,1,847,13.3,3,15.63,3.96,20.0,Approved
Thompson Group,ngardner@murphy.info,"0493 Katherine Rapid Apt. 443, Markton, KY 93010",20.79,13,88.84,0,805,3.8,5,17.63,6.39,20.0,Approved
Thomas LLC,jacksonshannon@nelson.com,"99068 Kevin Path Suite 444, Damonburgh, PA 40320",24.46,13,60.35,2,803,4.4,19,23.83,9.6,19.4,Not Approved
"Parker, Carey and Reese",whitepeggy@hotmail.com,"1684 Stephen Forges, Brendachester, WA 85633",21.45,19,85.61,0,804,9.96,8,21.41,1.83,20.0,Approved
Owens PLC,josephjulie@hotmail.com,"3742 Jones Isle Suite 841, Scottmouth, ME 87628",42.55,8,92.3,1,844,3.42,10,21.35,6.82,20.0,Approved
Hughes Ltd,harriskayla@branch-may.com,"251 Green Meadow, Port Michelleburgh, MN 37927",43.36,19,83.35,3,650,14.2,1,9.18,3.89,20.0,Not Approved
Turner Group,rhonda79@hotmail.com,"9012 Jaime Highway Apt. 513, New Stephanieport, AZ 93833",9.87,3,88.73,3,668,13.13,19,9.84,2.18,10.85,Not Approved
"Wall, Zhang and Henry",wmiller@taylor-turner.info,"0212 Green Brook Apt. 481, New Stephanieport, FL 69235",37.19,14,86.81,1,848,7.86,4,18.95,3.2,20.0,Approved
Reyes-Bowers,jackiejacobs@hotmail.com,"72880 Mcmahon Point, Brownton, MN 16889",23.13,11,88.4,0,838,13.59,9,17.07,3.98,20.0,Approved
"Chapman, Crawford and Kelley",ashley60@turner-phillips.org,"8281 Jill Canyon, Curtismouth, AK 63164",40.94,16,89.96,3,765,14.23,18,20.34,9.0,20.0,Not Approved
Stanley Inc,rodriguezwilliam@gmail.com,"4714 Graham Fork Apt. 205, Petersenberg, ID 50363",22.76,13,95.14,1,805,14.77,4,19.68,6.94,20.0,Approved
"Franklin, Palmer and Gonzalez",iankelly@yahoo.com,"5434 Hannah Lakes, Port Roberttown, TN 79220",47.01,12,86.66,0,838,10.12,8,18.39,1.42,20.0,Approved
"Russo, Castaneda and Walker",susannichols@leblanc.com,"98724 Elizabeth Pike, Jensenville, NE 68245",27.62,1,66.13,3,650,3.45,16,17.33,6.15,15.84,Not Approved
Williams-Bennett,zadams@gmail.com,"263 Ortiz Underpass Apt. 685, Florestown, ND 57813",44.56,9,96.48,1,846,8.72,6,22.23,2.93,20.0,Approved
"Li, Rogers and Williamson",qparrish@gmail.com,"81236 Ashley Highway, Lake Jasonfurt, NM 71004",49.51,17,92.72,0,841,9.57,10,24.35,9.93,20.0,Approved
Thomas-Franco,allenjames@reyes-hernandez.biz,"12978 Paul Club Suite 760, Lake Edward, VA 73196",30.34,11,91.62,3,712,10.17,15,16.66,9.29,20.0,Not Approved
Pope LLC,francis29@gmail.com,"378 Warren Creek, Timothyhaven, MO 81278",13.43,19,80.9,1,817,13.69,17,24.13,8.84,20.0,Not Approved
"Ramirez, Nelson and Acevedo",owalters@wilson.com,"93737 Evans Cliff, Lake Bradley, NV 92884",44.81,11,90.63,0,817,8.17,4,16.98,4.86,20.0,Approved
"Johnson, Rodgers and Fowler",alisha86@james.biz,"269 Webster Port, West Kylestad, MD 30019",32.56,19,90.59,0,816,12.75,3,16.53,2.47,20.0,Approved
Jordan Group,frostsamantha@hotmail.com,"USCGC Young, FPO AE 37670",44.34,13,97.29,0,815,4.44,8,15.32,1.72,20.0,Approved
Schwartz-Harrison,woconnor@taylor.net,"0673 Estes Estate, East Kristinaberg, CT 79865",41.92,5,93.21,0,815,3.09,3,20.66,8.85,20.0,Approved
"Chambers, White and Jones",hgalvan@yahoo.com,"7093 Anna Causeway Suite 542, Michaelburgh, IN 54721",22.31,19,83.9,0,816,4.89,9,22.0,2.89,20.0,Approved
Schwartz-Harrison,woconnor@taylor.net,"0673 Estes Estate, East Kristinaberg, CT 79865",30.05,18,88.13,0,819,3.09,5,20.1,2.24,20.0,Approved
"Lewis, Williams and Matthews",timothy56@lee.org,"87043 Aaron Harbors, Bakermouth, ID 49821",35.01,6,87.86,1,817,14.45,8,16.91,3.48,20.0,Approved
"Gilbert, Jacobson and Smith",briansalinas@gmail.com,"33448 Page Ferry, Victoriatown, CT 73121",30.02,14,83.42,0,832,5.71,8,17.28,2.43,20.0,Approved
"Nelson, Jackson and Boyer",estuart@gmail.com,"16545 Miller Summit Apt. 624, Jameshaven, AK 95198",35.21,9,98.79,0,650,7.56,4,18.48,7.88,20.0,Not Approved
"Moore, Taylor and Miller",carolstein@hotmail.com,"1122 Gary Via Suite 375, Brianchester, KS 39552",43.19,17,97.27,3,650,8.78,7,8.95,7.27,20.0,Not Approved
Anderson-Harris,james00@gmail.com,"59882 Roberts Harbors, Williamsonville, IA 60380",21.49,14,81.47,0,818,6.69,5,16.85,4.22,20.0,Approved
Cruz PLC,bbell@gmail.com,"6389 Strong Lodge Suite 140, Morganborough, NV 62440",29.48,13,83.3,1,835,12.39,1,24.09,1.35,20.0,Approved
Guerra and Sons,dmitchell@gmail.com,"084 Thomas Throughway, Fowlershire, OK 82567",49.31,9,81.71,1,844,8.06,8,20.52,4.56,20.0,Approved
Williams-Bennett,zadams@gmail.com,"263 Ortiz Underpass Apt. 685, Florestown, ND 57813",32.77,10,99.41,0,826,8.72,7,24.5,2.67,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",23.66,13,93.67,0,820,6.17,2,24.36,1.72,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",48.26,16,92.76,1,831,4.6,7,18.65,5.49,20.0,Approved
Vega PLC,sbrown@lewis.com,"9967 Mckay Mall Suite 014, Deniseview, MN 85264",7.96,5,61.06,3,650,7.28,9,11.44,2.75,8.76,Not Approved
"Ramirez, Nelson and Acevedo",owalters@wilson.com,"93737 Evans Cliff, Lake Bradley, NV 92884",44.81,11,90.63,0,817,8.17,4,16.98,4.86,20.0,Approved
"Jimenez, Vazquez and Thompson",nmitchell@hotmail.com,"2005 Rhonda Island Apt. 769, Brandyburgh, MO 59508",48.72,17,90.2,1,822,13.85,4,21.31,2.2,20.0,Approved
"Snyder, Rodriguez and Swanson",dennis81@gmail.com,"40513 Hamilton Ridge, Bradleyside, VT 08608",42.67,5,97.42,0,826,3.28,5,20.42,9.01,20.0,Approved
Harris Group,anthonynorman@yahoo.com,"392 Lawrence Turnpike, Douglastown, MO 87338",37.48,6,86.99,1,849,11.62,6,17.62,3.16,20.0,Approved
Watkins Inc,robert19@vargas.com,"8034 Holloway Spring, South Jessica, IN 50317",43.44,2,90.98,2,650,6.54,17,6.29,6.84,9.44,Not Approved
Browning-May,jamie72@yahoo.com,"865 April Lodge, Port Jadeport, OR 39653",36.26,5,60.0,1,650,5.44,14,9.01,6.12,20.0,Not Approved
Roberts and Sons,keithwarren@hotmail.com,"2964 Nicole Estates, Jacktown, MS 20417",21.84,11,90.06,1,818,14.8,5,18.1,5.66,20.0,Approved
"Wong, Johnson and Jimenez",pamelamendez@yahoo.com,"72178 Daniel Knolls, Harringtonland, KS 26785",46.02,5,66.25,3,847,11.07,17,14.64,1.77,13.94,Not Approved
"Figueroa, Smith and Singleton",alee@hayes.com,"145 Kathleen Brooks, Riddleview, CA 60090",20.93,1,80.7,2,650,8.68,8,10.26,2.31,15.14,Not Approved
Beard Ltd,tammyroberts@hotmail.com,"91775 Christopher Dam, Thompsonport, MO 23501",24.54,15,93.58,0,808,5.33,5,21.81,8.77,20.0,Approved
Marquez-Thomas,mary11@yahoo.com,"032 Holmes Port Apt. 788, Davisshire, SD 19831",12.2,19,71.56,3,757,13.79,5,14.21,8.31,20.0,Not Approved
Guzman and Sons,mbridges@davis.com,"8508 Roberts Plaza, North Sherry, OH 02767",45.67,13,90.64,0,822,4.2,6,18.71,9.99,20.0,Approved
Simon-Campbell,whiteheadaustin@hotmail.com,"9680 David Spring Suite 001, Kimburgh, IN 02499",43.4,7,90.71,1,829,12.9,7,20.92,6.02,20.0,Approved
Smith-Bartlett,pwhitney@gmail.com,"5364 Wilkins Roads Suite 492, Beverlytown, OR 27833",24.99,6,88.28,1,844,4.52,9,21.07,4.75,20.0,Approved
Burnett-Lowery,michael75@hotmail.com,"0423 Mcknight Lakes, New Derekton, MI 21207",24.25,16,86.9,1,793,14.5,7,6.5,2.78,7.29,Not Approved
Fisher PLC,scalderon@pena.biz,"PSC 5591, Box 6425, APO AA 58694",25.04,6,99.13,0,826,8.18,9,19.19,2.05,20.0,Approved
"Sullivan, Sosa and Giles",njones@hotmail.com,"0886 Jennifer Curve, Trevinoville, HI 20986",35.94,6,97.99,1,818,8.08,8,24.46,9.67,20.0,Approved
Nelson and Sons,stephanie57@reed.com,"PSC 8686, Box 0478, APO AE 68533",24.93,11,87.87,0,831,7.19,3,16.48,4.76,20.0,Approved
Lynn Inc,solisgeorge@hotmail.com,"PSC 8502, Box 0423, APO AE 15385",29.57,19,93.84,1,816,7.45,9,22.91,5.61,20.0,Approved
"Carter, Ramos and White",penacharles@yahoo.com,"720 Richardson Fords, Davidbury, IN 81168",46.73,7,80.17,0,826,13.1,4,20.52,9.19,20.0,Approved
Brown-Anderson,scottmelissa@gmail.com,"USNS Greer, FPO AE 03282",35.16,10,82.66,0,831,11.89,3,22.96,7.66,20.0,Approved
Hernandez-Sullivan,roger34@coleman.com,"13690 Wilkerson Heights Suite 053, Lake Dana, SD 62574",29.55,6,99.55,1,800,7.81,1,24.27,4.74,20.0,Approved
Dean-Williamson,vasquezvictoria@gmail.com,"46713 Bush Mills Suite 598, North David, VA 96107",29.01,16,85.56,0,802,13.64,1,17.37,2.81,20.0,Approved
Mckee Inc,ryoung@yahoo.com,"491 Patrick View, North Patrickbury, TX 74596",26.98,19,89.92,1,842,14.89,1,22.71,4.14,20.0,Approved
Robbins-Rodgers,bdixon@gmail.com,"6490 Mckenzie Extensions, North Marialand, AZ 32356",21.2,13,83.5,0,803,8.99,5,15.93,7.09,20.0,Approved
"Ford, Scott and Garcia",luis12@lynn.org,"07755 Zamora Park Suite 384, Schwartzland, NJ 73016",30.73,16,81.6,0,818,4.51,8,17.72,3.62,20.0,Approved
Rodriguez-Lloyd,brian55@tran.org,"636 Powell Garden, New Kristin, LA 74470",33.86,11,81.88,0,802,10.75,6,18.59,7.71,20.0,Approved
Harris Group,anthonynorman@yahoo.com,"392 Lawrence Turnpike, Douglastown, MO 87338",37.48,6,86.99,1,849,11.62,6,17.62,3.16,20.0,Approved
Jordan Group,frostsamantha@hotmail.com,"USCGC Young, FPO AE 37670",42.01,11,84.78,0,803,4.44,4,18.5,3.16,20.0,Approved
Luna-Daniel,carla60@gmail.com,"353 Anderson Manors Suite 494, North Danielle, KY 59160",26.73,12,88.34,1,819,11.71,7,21.99,5.27,20.0,Approved
Jordan PLC,contrerassusan@brown-kim.com,"0991 Jennifer Station Apt. 144, Melissaville, WV 95476",33.69,15,96.44,1,801,12.04,6,21.15,6.53,20.0,Approved
"Brock, Davis and Robertson",davidjohnson@hale.com,"0835 Torres Bridge, New Deborahstad, NY 44318",35.08,1,97.34,1,650,11.49,3,12.96,3.02,20.0,Not Approved
Bowers-Lee,katherine91@allen.info,"979 Nelson Plaza Suite 284, North Matthewborough, LA 42010",44.71,14,88.88,1,812,9.46,7,23.32,5.75,20.0,Approved
"Grimes, Smith and Davidson",matthewtaylor@gibson.net,"87956 Smith Union Apt. 776, Hernandezville, LA 86046",25.91,13,94.8,1,814,9.51,4,15.88,6.55,20.0,Approved
Obrien LLC,ylee@yahoo.com,"5073 Baker Knolls, North David, HI 02543",20.04,12,86.72,1,804,14.07,4,15.13,9.23,20.0,Approved
"Skinner, Rivera and Hawkins",nmaxwell@long.biz,"631 Powell Mountain, Ericfort, DC 77465",18.96,15,61.32,0,650,3.62,10,24.24,8.13,20.0,Not Approved
Fisher PLC,scalderon@pena.biz,"PSC 5591, Box 6425, APO AA 58694",25.04,6,99.13,0,826,8.18,9,19.19,2.05,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",37.1,5,83.99,0,830,10.83,4,23.23,3.01,20.0,Approved
"Walker, Lee and Taylor",baileykramer@boyer-roberts.com,"98316 Waller Radial, New Steven, ME 96897",47.14,15,95.06,0,827,14.86,6,19.83,7.18,20.0,Approved
Stewart-Barton,smithamy@erickson.net,"64667 Hannah Route, Holmesbury, UT 66950",30.61,13,96.5,0,847,6.37,2,22.47,5.01,20.0,Approved
Ray and Sons,williamscarl@hotmail.com,"8125 Robyn Mission, Lake Tina, NH 29571",31.32,12,81.99,1,825,7.7,6,18.09,3.83,20.0,Approved
"Parker, Carey and Reese",whitepeggy@hotmail.com,"1684 Stephen Forges, Brendachester, WA 85633",21.45,19,85.61,0,804,9.96,8,21.41,1.83,20.0,Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.18,11,99.39,0,821,4.91,4,15.33,8.57,20.0,Approved
"Wood, Gomez and Aguirre",lnelson@gmail.com,"8884 Gilmore Tunnel, North Timothy, NM 25175",32.44,6,86.18,1,829,14.75,7,23.92,3.24,20.0,Approved
"Weaver, Garza and Bautista",danielsmariah@schmitt-bryant.info,"614 James Stravenue, North Yolanda, UT 35959",23.16,8,75.36,1,806,14.84,17,5.33,8.2,16.24,Not Approved
Hamilton LLC,christine18@stewart-gonzalez.biz,"739 Joseph Freeway Suite 628, Terrellbury, UT 49052",38.88,19,84.73,1,845,7.28,10,23.39,8.17,20.0,Approved
Johnson-Wright,zachary95@gmail.com,"746 Leah Prairie Apt. 299, South Mark, CT 71631",29.08,15,85.4,1,842,10.33,3,22.99,2.93,20.0,Approved
Watson-Stephens,tammy15@collins.org,"391 Stewart Fords Apt. 920, East Charlesburgh, AK 42386",25.12,6,94.14,1,809,9.87,9,20.25,3.81,20.0,Approved
Mcdonald Inc,vstrickland@gmail.com,"342 Rebecca Square, West Cynthialand, VA 82656",38.69,15,86.42,1,848,12.07,1,15.75,3.51,20.0,Approved
"Webb, Howard and Rivera",singhcory@yahoo.com,"471 Jennifer Station Suite 625, Port Jimmy, ND 81508",39.93,14,81.28,3,650,3.98,17,5.65,7.35,20.0,Not Approved
Tyler LLC,ycruz@yahoo.com,"Unit 5854 Box 8830, DPO AE 29024",39.62,14,88.96,0,817,5.13,2,18.48,6.63,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",48.26,16,92.76,1,831,4.6,7,18.65,5.49,20.0,Approved
"Smith, Aguirre and Walsh",waltergreen@yahoo.com,"91332 Sarah Islands, Jessicaville, TN 85257",27.23,11,87.55,1,849,3.63,10,18.81,3.66,20.0,Approved
"Pugh, White and Howard",kennethlopez@lee-reid.net,"6430 Jason Gateway, Valenzuelaville, NJ 36523",47.33,6,99.23,0,825,4.82,6,15.94,3.69,20.0,Approved
Stanley Inc,rodriguezwilliam@gmail.com,"4714 Graham Fork Apt. 205, Petersenberg, ID 50363",22.76,13,95.14,1,805,14.77,4,19.68,6.94,20.0,Approved
Pope-Francis,jlawrence@carroll-williams.org,"215 Lawrence Cliff Apt. 424, Candacestad, ID 13182",37.26,14,80.71,3,650,7.1,6,17.52,8.15,20.0,Not Approved
Cannon and Sons,kylenelson@gmail.com,"07825 Morgan Heights, South Williambury, PA 79273",42.74,8,88.36,1,845,12.44,2,15.14,2.96,20.0,Approved
Gonzales and Sons,anthony82@munoz-santos.com,"Unit 6611 Box 7372, DPO AP 71581",47.04,16,94.77,1,825,9.99,8,17.51,1.96,20.0,Approved
Wallace-Miller,bryan40@yahoo.com,"3404 Mendez Freeway Suite 781, North Michaelhaven, NJ 93843",38.29,8,96.04,1,823,6.41,7,17.65,5.4,20.0,Approved
"Kline, Barnett and Bryant",jenniferdavidson@yahoo.com,"16184 George Fork Apt. 013, Lake George, NY 57246",44.51,14,90.46,0,832,5.3,3,18.53,6.02,20.0,Approved
Watkins and Sons,stephen67@taylor.info,"3427 Michelle Wells Apt. 595, Weavermouth, RI 87769",38.53,16,91.96,0,805,14.6,1,19.77,2.46,20.0,Approved
"Flores, French and Hubbard",carlmalone@yahoo.com,"296 Bailey Motorway, South Yeseniafurt, HI 27272",29.91,8,87.95,0,827,6.91,8,20.45,8.53,20.0,Approved
"Parker, Carey and Reese",whitepeggy@hotmail.com,"1684 Stephen Forges, Brendachester, WA 85633",21.45,19,85.61,0,804,9.96,8,21.41,1.83,20.0,Approved
"Clark, Martin and Lee",daniel85@hotmail.com,"69507 Jose Island Apt. 296, Shannonport, NH 20342",44.44,7,97.78,1,818,14.94,3,16.43,6.43,20.0,Approved
Vega PLC,sbrown@lewis.com,"9967 Mckay Mall Suite 014, Deniseview, MN 85264",7.96,5,61.06,3,650,7.28,9,11.44,2.75,8.76,Not Approved
Harrison Ltd,sara10@brown.com,"029 Briana Circles, Hardinburgh, NH 68445",37.37,17,86.47,1,840,10.0,10,22.37,3.43,20.0,Approved
"Salazar, Knight and Newman",qstephens@gmail.com,"86670 Lauren Manors Apt. 945, West Davidton, WI 87752",21.12,16,95.58,0,835,14.51,9,17.65,2.88,20.0,Approved
Garcia Ltd,lori38@odonnell.info,"63113 Thompson Isle Apt. 347, Port Jessica, MN 58446",8.83,11,57.92,0,809,6.87,8,8.69,4.23,20.0,Not Approved
Gallegos-Harding,samuel53@hotmail.com,"450 Lewis Mission, Jacobtown, IN 19558",8.01,18,70.07,1,768,4.44,16,16.15,7.16,10.63,Not Approved
"Andrews, Parks and James",ivaughan@hotmail.com,"5691 Michael Mountain, Maryhaven, NC 31630",33.0,6,69.09,0,650,14.69,9,10.68,4.88,8.45,Not Approved
